time_ns,x,y,z,roll,pitch,yaw
1760679845193644240,0.0002069,-4.09809e-08,0.444047,1.07062e-05,-0.0162674,-2.9218e-07
1760679845195603831,0.000190136,-3.9937e-08,0.443561,1.10125e-05,-0.0171627,-3.22037e-07
1760679845196605928,0.000170998,-3.87375e-08,0.443035,1.13149e-05,-0.0180652,-3.54315e-07
1760679845197609679,0.000170998,-3.87375e-08,0.443035,1.13149e-05,-0.0180652,-3.54315e-07
1760679845198605264,0.000149527,-3.73937e-08,0.442467,1.1615e-05,-0.018975,-3.88836e-07
1760679845199604897,0.000149527,-3.73937e-08,0.442467,1.1615e-05,-0.018975,-3.88836e-07
1760679845200609219,0.000125764,-3.59145e-08,0.44186,1.19145e-05,-0.0198922,-4.25456e-07
1760679845201609032,0.000125764,-3.59145e-08,0.44186,1.19145e-05,-0.0198922,-4.25456e-07
1760679845202606992,9.97497e-05,-3.4307e-08,0.441212,1.22145e-05,-0.0208168,-4.64062e-07
1760679845203609230,9.97497e-05,-3.4307e-08,0.441212,1.22145e-05,-0.0208168,-4.64062e-07
1760679845205610459,7.15234e-05,-3.25768e-08,0.440524,1.2516e-05,-0.021749,-5.04566e-07
1760679845206608589,4.11254e-05,-3.07286e-08,0.439797,1.28199e-05,-0.0226888,-5.469e-07
1760679845207608272,4.11254e-05,-3.07286e-08,0.439797,1.28199e-05,-0.0226888,-5.469e-07
1760679845208607905,8.5953e-06,-2.87658e-08,0.439029,1.31267e-05,-0.0236363,-5.91012e-07
1760679845209608159,8.5953e-06,-2.87658e-08,0.439029,1.31267e-05,-0.0236363,-5.91012e-07
1760679845210608023,-2.60278e-05,-2.66912e-08,0.438222,1.34369e-05,-0.0245916,-6.36864e-07
1760679845211610260,-2.60278e-05,-2.66912e-08,0.438222,1.34369e-05,-0.0245916,-6.36864e-07
1760679845212609553,-6.2705e-05,-2.45071e-08,0.437376,1.37511e-05,-0.0255547,-6.84427e-07
1760679845213604747,-6.2705e-05,-2.45071e-08,0.437376,1.37511e-05,-0.0255547,-6.84427e-07
1760679845214605903,-0.000101398,-2.22153e-08,0.43649,1.40696e-05,-0.0265256,-7.33683e-07
1760679845215603863,-0.000101398,-2.22153e-08,0.43649,1.40696e-05,-0.0265256,-7.33683e-07
1760679845216611320,-0.00014207,-1.9817e-08,0.435566,1.43926e-05,-0.0275044,-7.8462e-07
1760679845218614023,-0.00014207,-1.9817e-08,0.435566,1.43926e-05,-0.0275044,-7.8462e-07
1760679845219611391,-0.000184682,-1.73133e-08,0.434602,1.47204e-05,-0.0284911,-8.37231e-07
1760679845220611395,-0.000229199,-1.47051e-08,0.433599,1.50532e-05,-0.0294857,-8.91516e-07
1760679845221608383,-0.000229199,-1.47051e-08,0.433599,1.50532e-05,-0.0294857,-8.91516e-07
1760679845222604820,-0.000275583,-1.1993e-08,0.432557,1.53911e-05,-0.0304883,-9.47478e-07
1760679845224659260,-0.000323801,-9.17754e-09,0.431476,1.57344e-05,-0.0314989,-1.00512e-06
1760679845226607419,-0.000323801,-9.17754e-09,0.431476,1.57344e-05,-0.0314989,-1.00512e-06
1760679845227610168,-0.000373816,-6.25902e-09,0.430357,1.6083e-05,-0.0325174,-1.06446e-06
1760679845228605943,-0.000425595,-3.23777e-09,0.429199,1.64372e-05,-0.033544,-1.1255e-06
1760679845229604965,-0.000425595,-3.23777e-09,0.429199,1.64372e-05,-0.033544,-1.1255e-06
1760679845230604908,-0.000479104,-1.14004e-10,0.428003,1.67969e-05,-0.0345785,-1.18825e-06
1760679845231604100,-0.000479104,-1.14004e-10,0.428003,1.67969e-05,-0.0345785,-1.18825e-06
1760679845232606098,-0.000534309,3.11209e-09,0.426768,1.71623e-05,-0.0356211,-1.25273e-06
1760679845233606121,-0.000534309,3.11209e-09,0.426768,1.71623e-05,-0.0356211,-1.25273e-06
1760679845234608630,-0.000591179,6.44038e-09,0.425495,1.75333e-05,-0.0366717,-1.31896e-06
1760679845235611439,-0.000591179,6.44038e-09,0.425495,1.75333e-05,-0.0366717,-1.31896e-06
1760679845236605261,-0.000591179,6.44038e-09,0.425495,1.75333e-05,-0.0366717,-1.31896e-06
1760679845237626164,-0.000649681,9.87075e-09,0.424183,1.79101e-05,-0.0377302,-1.38695e-06
1760679845239619108,-0.000709784,1.34031e-08,0.422833,1.82927e-05,-0.0387968,-1.45671e-06
1760679845240617167,-0.000771458,1.70374e-08,0.421444,1.86811e-05,-0.0398713,-1.52827e-06
1760679845241620006,-0.000771458,1.70374e-08,0.421444,1.86811e-05,-0.0398713,-1.52827e-06
1760679845242617425,-0.000834672,2.07734e-08,0.420018,1.90753e-05,-0.0409538,-1.60165e-06
1760679845250155399,-0.00103327,3.25919e-08,0.415509,2.02932e-05,-0.044249,-1.83284e-06
1760679845251614502,-0.00110236,3.67345e-08,0.41393,2.07109e-05,-0.0453632,-1.91366e-06
