time_ns,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
1760679849770795524,-0.134908,1.2237,-2.72301,0.134969,1.22366,-2.72299,-0.480441,1.68266,-2.72415,0.480439,1.68213,-2.72418
1760679849774088159,-0.134908,1.2237,-2.72301,0.134969,1.22366,-2.72299,-0.480441,1.68266,-2.72415,0.480439,1.68213,-2.72418
1760679849774178991,-0.134907,1.2237,-2.72301,0.134967,1.22367,-2.72299,-0.480442,1.68265,-2.72415,0.48044,1.68213,-2.72418
1760679849775281027,-0.134906,1.2237,-2.72301,0.134966,1.22367,-2.72299,-0.480442,1.68265,-2.72415,0.480441,1.68213,-2.72418
1760679849776859236,-0.134906,1.2237,-2.72301,0.134966,1.22367,-2.72299,-0.480442,1.68265,-2.72415,0.480441,1.68213,-2.72418
1760679849777944010,-0.134906,1.2237,-2.72301,0.134966,1.22367,-2.72299,-0.480442,1.68265,-2.72415,0.480441,1.68213,-2.72418
1760679849779279148,-0.134905,1.2237,-2.72301,0.134965,1.22367,-2.72299,-0.480443,1.68265,-2.72415,0.480442,1.68212,-2.72418
1760679849781580726,-0.134905,1.2237,-2.72301,0.134965,1.22367,-2.72299,-0.480443,1.68265,-2.72415,0.480442,1.68212,-2.72418
1760679849784761960,-0.134904,1.2237,-2.72301,0.134964,1.22367,-2.72299,-0.480444,1.68265,-2.72415,0.480442,1.68212,-2.72418
1760679849785479800,-0.134904,1.2237,-2.72301,0.134963,1.22367,-2.72299,-0.480444,1.68265,-2.72415,0.480443,1.68212,-2.72418
1760679849786722212,-0.134903,1.2237,-2.72301,0.134962,1.22367,-2.72299,-0.480444,1.68265,-2.72415,0.480443,1.68212,-2.72418
1760679849787784123,-0.134903,1.2237,-2.72301,0.134962,1.22367,-2.72299,-0.480444,1.68265,-2.72415,0.480443,1.68212,-2.72418
1760679849791038936,-0.134902,1.2237,-2.72301,0.134961,1.22367,-2.72299,-0.480445,1.68264,-2.72415,0.480444,1.68212,-2.72418
1760679849792125133,-0.134901,1.2237,-2.72301,0.13496,1.22367,-2.72299,-0.480446,1.68264,-2.72415,0.480445,1.68212,-2.72418
1760679849793223834,-0.134901,1.2237,-2.72301,0.134959,1.22367,-2.72299,-0.480446,1.68264,-2.72415,0.480445,1.68211,-2.72418
1760679849794318657,-0.134901,1.2237,-2.72301,0.134959,1.22367,-2.72299,-0.480446,1.68264,-2.72415,0.480445,1.68211,-2.72418
1760679849795418028,-0.134901,1.2237,-2.72301,0.134959,1.22367,-2.72299,-0.480446,1.68264,-2.72415,0.480445,1.68211,-2.72418
1760679849796517450,-0.1349,1.22371,-2.72301,0.134958,1.22367,-2.72299,-0.480447,1.68264,-2.72415,0.480446,1.68211,-2.72418
1760679849797622252,-0.1349,1.22371,-2.72301,0.134958,1.22367,-2.72299,-0.480447,1.68264,-2.72415,0.480446,1.68211,-2.72418
1760679849799151879,-0.134899,1.22371,-2.72301,0.134958,1.22367,-2.72299,-0.480447,1.68264,-2.72415,0.480446,1.68211,-2.72418
1760679849804175131,-0.134897,1.22371,-2.72301,0.134955,1.22367,-2.72299,-0.480448,1.68264,-2.72414,0.480448,1.68211,-2.72418
1760679849805237933,-0.134897,1.22371,-2.72301,0.134954,1.22367,-2.72299,-0.480449,1.68263,-2.72414,0.480448,1.68211,-2.72418
1760679849806359307,-0.134897,1.22371,-2.72301,0.134954,1.22367,-2.72299,-0.480449,1.68263,-2.72414,0.480448,1.68211,-2.72418
1760679849807470020,-0.134897,1.22371,-2.72301,0.134954,1.22367,-2.72299,-0.480449,1.68263,-2.72414,0.480448,1.68211,-2.72418
1760679849808560575,-0.134896,1.22371,-2.72301,0.134954,1.22367,-2.72299,-0.480449,1.68263,-2.72414,0.480449,1.68211,-2.72418
1760679849809661620,-0.134896,1.22371,-2.72301,0.134953,1.22367,-2.72299,-0.48045,1.68263,-2.72414,0.480449,1.6821,-2.72418
1760679849810772363,-0.134896,1.22371,-2.72301,0.134953,1.22367,-2.72299,-0.48045,1.68263,-2.72414,0.480449,1.6821,-2.72418
1760679849811878828,-0.134895,1.22371,-2.72301,0.134952,1.22367,-2.72299,-0.48045,1.68263,-2.72414,0.480449,1.6821,-2.72418
1760679849812973842,-0.134895,1.22371,-2.72301,0.134951,1.22367,-2.72299,-0.480451,1.68263,-2.72414,0.48045,1.6821,-2.72418
1760679849814072312,-0.134895,1.22371,-2.72301,0.134951,1.22367,-2.72299,-0.480451,1.68263,-2.72414,0.48045,1.6821,-2.72418
1760679849815165041,-0.134894,1.22371,-2.72302,0.134951,1.22367,-2.72299,-0.480451,1.68263,-2.72414,0.48045,1.6821,-2.72418
1760679849816271586,-0.134894,1.22371,-2.72302,0.134951,1.22367,-2.72299,-0.480451,1.68263,-2.72414,0.48045,1.6821,-2.72418
1760679849817379444,-0.134893,1.22371,-2.72302,0.13495,1.22367,-2.72299,-0.480452,1.68263,-2.72414,0.480451,1.6821,-2.72418
1760679849818480198,-0.134893,1.22371,-2.72302,0.13495,1.22367,-2.72299,-0.480452,1.68263,-2.72414,0.480451,1.6821,-2.72418
1760679849819584359,-0.134893,1.22371,-2.72302,0.13495,1.22367,-2.72299,-0.480452,1.68263,-2.72414,0.480451,1.6821,-2.72418
1760679849820683500,-0.134893,1.22371,-2.72302,0.134949,1.22367,-2.72299,-0.480452,1.68263,-2.72414,0.480451,1.6821,-2.72418
1760679849821783604,-0.134892,1.22371,-2.72302,0.134948,1.22367,-2.72299,-0.480452,1.68262,-2.72414,0.480452,1.6821,-2.72418
1760679849822893555,-0.134892,1.22371,-2.72302,0.134947,1.22368,-2.72299,-0.480453,1.68262,-2.72414,0.480452,1.6821,-2.72418
1760679849823987737,-0.134892,1.22371,-2.72302,0.134947,1.22368,-2.72299,-0.480453,1.68262,-2.72414,0.480452,1.6821,-2.72418
1760679849825099302,-0.134891,1.22371,-2.72302,0.134947,1.22368,-2.72299,-0.480453,1.68262,-2.72414,0.480453,1.68209,-2.72418
1760679849826159950,-0.134891,1.22371,-2.72302,0.134947,1.22368,-2.72299,-0.480453,1.68262,-2.72414,0.480453,1.68209,-2.72418
1760679849827252088,-0.13489,1.22371,-2.72302,0.134946,1.22368,-2.72299,-0.480454,1.68262,-2.72414,0.480453,1.68209,-2.72418
1760679849828369184,-0.13489,1.22371,-2.72302,0.134946,1.22368,-2.72299,-0.480454,1.68262,-2.72414,0.480453,1.68209,-2.72418
1760679849829466121,-0.13489,1.22371,-2.72302,0.134946,1.22368,-2.72299,-0.480454,1.68262,-2.72414,0.480453,1.68209,-2.72418
1760679849830567797,-0.13489,1.22371,-2.72302,0.134945,1.22368,-2.72299,-0.480454,1.68262,-2.72414,0.480454,1.68209,-2.72417
1760679849831674673,-0.134889,1.22371,-2.72302,0.134944,1.22368,-2.72299,-0.480455,1.68262,-2.72414,0.480454,1.68209,-2.72417
1760679849831718286,-0.134889,1.22371,-2.72302,0.134944,1.22368,-2.72299,-0.480455,1.68262,-2.72414,0.480454,1.68209,-2.72417
1760679849832819100,-0.134889,1.22371,-2.72302,0.134944,1.22368,-2.72299,-0.480455,1.68262,-2.72414,0.480455,1.68209,-2.72417
1760679849833947416,-0.134889,1.22371,-2.72302,0.134944,1.22368,-2.72299,-0.480455,1.68262,-2.72414,0.480455,1.68209,-2.72417
1760679849835034285,-0.134888,1.22371,-2.72302,0.134943,1.22368,-2.723,-0.480456,1.68262,-2.72414,0.480455,1.68209,-2.72417
1760679849836135179,-0.134888,1.22371,-2.72302,0.134943,1.22368,-2.723,-0.480456,1.68262,-2.72414,0.480455,1.68209,-2.72417
1760679849837248798,-0.134888,1.22371,-2.72302,0.134942,1.22368,-2.723,-0.480456,1.68262,-2.72414,0.480456,1.68209,-2.72417
1760679849838351045,-0.134888,1.22371,-2.72302,0.134942,1.22368,-2.723,-0.480456,1.68262,-2.72414,0.480456,1.68209,-2.72417
1760679849839453763,-0.134888,1.22371,-2.72302,0.134942,1.22368,-2.723,-0.480456,1.68262,-2.72414,0.480456,1.68209,-2.72417
1760679849848624709,-0.134885,1.22371,-2.72302,0.134939,1.22368,-2.723,-0.480458,1.68261,-2.72414,0.480458,1.68208,-2.72417
1760679849848648244,-0.134885,1.22371,-2.72302,0.134939,1.22368,-2.723,-0.480458,1.68261,-2.72414,0.480458,1.68208,-2.72417
1760679849849769667,-0.134884,1.22371,-2.72302,0.134938,1.22368,-2.723,-0.480459,1.68261,-2.72414,0.480459,1.68208,-2.72417
1760679849850865041,-0.134884,1.22371,-2.72302,0.134937,1.22368,-2.723,-0.480459,1.68261,-2.72414,0.480459,1.68208,-2.72417
1760679849851967188,-0.134884,1.22371,-2.72302,0.134937,1.22368,-2.723,-0.480459,1.68261,-2.72414,0.480459,1.68208,-2.72417
1760679849853094152,-0.134883,1.22371,-2.72302,0.134936,1.22368,-2.723,-0.480459,1.68261,-2.72414,0.48046,1.68208,-2.72417
1760679849854230855,-0.134883,1.22371,-2.72302,0.134936,1.22368,-2.723,-0.480459,1.68261,-2.72414,0.48046,1.68208,-2.72417
1760679849857472092,-0.134883,1.22371,-2.72302,0.134936,1.22368,-2.723,-0.48046,1.6826,-2.72414,0.48046,1.68208,-2.72417
1760679849857489435,-0.134882,1.22371,-2.72302,0.134935,1.22368,-2.723,-0.48046,1.6826,-2.72414,0.480461,1.68208,-2.72417
1760679849858535155,-0.134882,1.22371,-2.72302,0.134935,1.22368,-2.723,-0.48046,1.6826,-2.72414,0.480461,1.68208,-2.72417
1760679849859632684,-0.134882,1.22371,-2.72302,0.134934,1.22368,-2.723,-0.480461,1.6826,-2.72414,0.480461,1.68207,-2.72417
1760679849860741072,-0.134882,1.22371,-2.72302,0.134934,1.22368,-2.723,-0.480461,1.6826,-2.72414,0.480461,1.68207,-2.72417
1760679849861839101,-0.134881,1.22371,-2.72302,0.134934,1.22368,-2.723,-0.480461,1.6826,-2.72414,0.480462,1.68207,-2.72417
1760679849862953321,-0.134881,1.22371,-2.72302,0.134934,1.22368,-2.723,-0.480461,1.6826,-2.72414,0.480462,1.68207,-2.72417
1760679849864054627,-0.13488,1.22371,-2.72302,0.134933,1.22368,-2.723,-0.480462,1.6826,-2.72414,0.480462,1.68207,-2.72417
1760679849865184606,-0.13488,1.22371,-2.72302,0.134932,1.22368,-2.723,-0.480462,1.6826,-2.72414,0.480463,1.68207,-2.72417
1760679849866289739,-0.13488,1.22371,-2.72302,0.134932,1.22368,-2.723,-0.480462,1.6826,-2.72414,0.480463,1.68207,-2.72417
1760679849867376046,-0.134879,1.22371,-2.72302,0.134932,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480463,1.68207,-2.72417
1760679849868462403,-0.134879,1.22371,-2.72302,0.134932,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480463,1.68207,-2.72417
1760679849869551305,-0.134879,1.22371,-2.72302,0.134931,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480464,1.68207,-2.72417
1760679849870652260,-0.134879,1.22371,-2.72302,0.134931,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480464,1.68207,-2.72417
1760679849871729900,-0.134878,1.22372,-2.72302,0.13493,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480464,1.68207,-2.72417
1760679849872847316,-0.134878,1.22372,-2.72302,0.13493,1.22368,-2.723,-0.480463,1.6826,-2.72414,0.480464,1.68207,-2.72417
1760679849873944053,-0.134878,1.22372,-2.72302,0.134929,1.22368,-2.723,-0.480464,1.68259,-2.72414,0.480465,1.68207,-2.72417
1760679849875035039,-0.134877,1.22372,-2.72302,0.134929,1.22368,-2.723,-0.480464,1.68259,-2.72414,0.480465,1.68206,-2.72417
1760679849876129602,-0.134877,1.22372,-2.72302,0.134929,1.22368,-2.723,-0.480464,1.68259,-2.72414,0.480465,1.68206,-2.72417
1760679849877226428,-0.134877,1.22372,-2.72302,0.134928,1.22368,-2.723,-0.480465,1.68259,-2.72414,0.480466,1.68206,-2.72417
1760679849878312906,-0.134877,1.22372,-2.72302,0.134928,1.22368,-2.723,-0.480465,1.68259,-2.72414,0.480466,1.68206,-2.72417
1760679849879407458,-0.134876,1.22372,-2.72302,0.134927,1.22368,-2.723,-0.480465,1.68259,-2.72414,0.480466,1.68206,-2.72417
1760679849880499166,-0.134876,1.22372,-2.72302,0.134927,1.22368,-2.723,-0.480465,1.68259,-2.72414,0.480466,1.68206,-2.72417
1760679849881589280,-0.134876,1.22372,-2.72302,0.134927,1.22368,-2.723,-0.480466,1.68259,-2.72414,0.480467,1.68206,-2.72417
1760679849882678432,-0.134876,1.22372,-2.72302,0.134927,1.22368,-2.723,-0.480466,1.68259,-2.72414,0.480467,1.68206,-2.72417
1760679849883786571,-0.134875,1.22372,-2.72302,0.134926,1.22369,-2.723,-0.480466,1.68259,-2.72414,0.480467,1.68206,-2.72417
1760679849884874661,-0.134875,1.22372,-2.72302,0.134926,1.22369,-2.723,-0.480466,1.68259,-2.72414,0.480467,1.68206,-2.72417
1760679849885968592,-0.134875,1.22372,-2.72302,0.134925,1.22369,-2.723,-0.480466,1.68259,-2.72414,0.480467,1.68206,-2.72417
1760679849887070940,-0.134874,1.22372,-2.72302,0.134925,1.22369,-2.723,-0.480467,1.68259,-2.72414,0.480468,1.68206,-2.72417
1760679849888144954,-0.134874,1.22372,-2.72302,0.134925,1.22369,-2.723,-0.480467,1.68259,-2.72414,0.480468,1.68206,-2.72417
